price,address,beds,baths,parking,type,sold_date
"$719,000","57/109 Stewart Avenue, 
HAMMONDVILLE NSW 2170",2,1,1,Villa,30-Aug-24
"$2,050,000","6 View Street, 
MIRANDA NSW 2228",5,3,2,House,30-Aug-24
"$2,050,000","26 Crookwell Avenue, 
MIRANDA NSW 2228",4,3,4,House,30-Aug-24
"$543,000","A202/18 Pinnacle Street, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,29-Aug-24
"$680,000","34 Satur Road, 
SCONE NSW 2337",4,2,4,House,29-Aug-24
"$412,500","28 Birrell Street, 
SCONE NSW 2337",3,1,1,House,29-Aug-24
"$468,000","1 Heffron Close, 
SCONE NSW 2337",3,1,1,House,29-Aug-24
"$821,000","11/19-21 Kiora Road, 
MIRANDA NSW 2228",2,1,2,Apartment / Unit / Flat,28-Aug-24
"$695,000","1/24-26 Kiora Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,28-Aug-24
"$475,000","5 Seaward Avenue, 
SCONE NSW 2337",3,1,2,House,28-Aug-24
"$441,000","21 Kelly Street, 
SCONE NSW 2337",4,2,3,House,28-Aug-24
"$210,000","516 Cockatoo Close, 
SCONE NSW 2337",NA,NA,NA,Vacant land,28-Aug-24
"$725,000","15/86-88 Karimbla Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,27-Aug-24
"$1,080,000","227 Moobi Road, 
SCONE NSW 2337",NA,NA,NA,Rural,27-Aug-24
"$1,875,000","22 Montgomery Street, 
MIRANDA NSW 2228",2,1,1,House,23-Aug-24
"$1,900,000","56 Gwawley Parade, 
MIRANDA NSW 2228",3,1,2,House,22-Aug-24
"$1,700,000","10b Kotara Place, 
MIRANDA NSW 2228",4,3,1,Semi-detached,21-Aug-24
"$759,950","11/27-31 Miranda Road, 
MIRANDA NSW 2228",1,1,1,Townhouse,21-Aug-24
"$270,000","2/6 Main Street, 
SCONE NSW 2337",2,1,1,Apartment / Unit / Flat,21-Aug-24
"$1,000,000","106 Moobi Road, 
SCONE NSW 2337",3,1,3,House,21-Aug-24
